               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10105,            0.053988,            0.039203,            0.022898,             0.04386,           0.0089293,           0.0014349,            0.057776,            0.027992,             0.02796,             0.00104,             0.00104,             0.09064
                   1,            0.080077,            0.062674,            0.034246,             0.53692,             0.35283,             0.22311,            0.053531,            0.044141,            0.022446,            0.024356,           0.0020895,           0.0020895,             0.08119
                   2,            0.066527,             0.05083,            0.029697,               0.605,             0.39291,             0.32054,             0.10645,            0.038331,            0.017935,            0.020997,           0.0031372,           0.0031372,            0.071737
                   3,            0.065315,            0.045065,            0.028884,             0.38579,             0.80847,              0.4891,             0.16297,            0.037882,            0.015001,            0.019237,           0.0041816,           0.0041816,            0.062282
                   4,            0.068181,             0.03675,            0.027277,              0.4431,             0.70844,             0.53342,             0.19723,            0.042456,            0.013186,            0.014831,           0.0052214,           0.0052214,            0.052821
                   5,            0.068184,            0.038582,            0.024794,             0.41429,             0.67878,              0.5057,             0.16331,            0.048162,            0.012591,            0.011186,           0.0062552,           0.0062552,            0.043355
                   6,            0.066978,            0.038589,            0.019779,              0.5816,             0.85978,              0.7507,             0.28598,            0.035888,            0.012126,           0.0054655,           0.0072815,           0.0072815,            0.033881
                   7,             0.06152,            0.037632,            0.017618,             0.39056,             0.73709,             0.57004,             0.25353,            0.032343,            0.012618,            0.022383,           0.0082991,           0.0082991,            0.024399
                   8,            0.062272,            0.038161,            0.015126,             0.55043,             0.51086,             0.25282,            0.095323,            0.043943,            0.015104,            0.033465,           0.0093065,           0.0093065,            0.014907
                   9,            0.060073,            0.036933,            0.017266,              0.5695,             0.57978,             0.59198,             0.17353,            0.040164,            0.012351,           0.0093065,           0.0098213,           0.0098213,           0.0098213
                  10,            0.057108,            0.034738,            0.013447,             0.65015,             0.81983,              0.7923,             0.23286,            0.041326,            0.011228,           0.0041476,           0.0098213,           0.0098213,           0.0098213
                  11,             0.05397,            0.033562,            0.011408,             0.58676,             0.76399,             0.70044,             0.30089,            0.045997,            0.010393,           0.0031504,           0.0097798,           0.0097798,           0.0097798
                  12,            0.049809,            0.037412,            0.010856,             0.64245,             0.88716,             0.81963,             0.37771,            0.031051,            0.010943,           0.0031955,            0.009734,            0.009734,            0.009734
                  13,             0.04592,            0.037293,            0.010835,             0.82035,             0.88851,             0.90725,             0.52348,            0.028435,            0.012202,           0.0033763,            0.009684,            0.009684,            0.009684
                  14,            0.044868,            0.037401,            0.011334,             0.74075,             0.94361,             0.91504,              0.4639,            0.030027,             0.01044,           0.0031005,           0.0096299,           0.0096299,           0.0096299
                  15,            0.046784,             0.03203,           0.0096865,             0.81784,             0.90234,              0.8984,             0.50385,            0.027464,            0.011252,           0.0025248,           0.0095717,           0.0095717,           0.0095717
                  16,            0.045051,            0.033878,           0.0098237,             0.90754,             0.88739,             0.94266,             0.50691,            0.025577,            0.010956,           0.0056907,           0.0095095,           0.0095095,           0.0095095
                  17,            0.044578,            0.036194,           0.0085692,             0.90718,             0.83538,             0.90551,             0.33416,               0.032,            0.011105,           0.0017677,           0.0094434,           0.0094434,           0.0094434
                  18,             0.04397,            0.037271,           0.0085118,             0.64699,             0.77513,             0.74887,             0.25107,            0.036991,            0.010536,             0.01441,           0.0093733,           0.0093733,           0.0093733
                  19,            0.043151,            0.038453,           0.0080636,             0.82119,             0.97479,             0.96293,             0.50296,              0.0281,            0.011476,           0.0023617,           0.0092995,           0.0092995,           0.0092995
                  20,            0.042341,            0.034943,           0.0073217,             0.77083,             0.87788,             0.88359,             0.43321,            0.028629,           0.0099718,           0.0030353,           0.0092219,           0.0092219,           0.0092219
                  21,            0.041697,            0.032961,           0.0070663,             0.85851,             0.88535,             0.90666,             0.44751,             0.03384,            0.011102,           0.0020254,           0.0091406,           0.0091406,           0.0091406
                  22,            0.041507,             0.03986,           0.0067732,             0.92216,             0.91987,             0.94708,             0.47551,            0.026053,            0.010802,           0.0024099,           0.0090557,           0.0090557,           0.0090557
                  23,            0.038053,            0.031705,           0.0067397,             0.93879,             0.93768,             0.96979,             0.57074,            0.023446,           0.0098085,           0.0018929,           0.0089673,           0.0089673,           0.0089673
                  24,             0.04043,            0.035524,           0.0067094,             0.93664,             0.90226,             0.94971,             0.55201,            0.025113,            0.010039,           0.0017105,           0.0088755,           0.0088755,           0.0088755
                  25,            0.036858,            0.033018,           0.0077684,             0.94007,              0.9272,             0.95836,             0.60746,            0.022054,            0.010205,           0.0013379,           0.0087804,           0.0087804,           0.0087804
                  26,            0.038429,            0.034908,           0.0069217,             0.93172,             0.96864,             0.97587,             0.58763,             0.02473,            0.010302,           0.0014334,            0.008682,            0.008682,            0.008682
                  27,            0.037463,            0.029006,           0.0075574,             0.89424,             0.94432,             0.95008,             0.53639,            0.025309,           0.0099355,           0.0015867,           0.0085805,           0.0085805,           0.0085805
                  28,            0.037025,            0.034184,           0.0058746,             0.91098,             0.95538,              0.9637,             0.54228,            0.023621,            0.010469,           0.0023499,           0.0084759,           0.0084759,           0.0084759
                  29,            0.037832,            0.033384,           0.0059585,             0.90823,             0.96273,             0.97458,             0.59773,             0.02234,           0.0098644,          0.00094151,           0.0083684,           0.0083684,           0.0083684
                  30,            0.035708,            0.027024,           0.0049575,             0.88342,             0.97057,             0.95993,             0.59004,            0.026521,           0.0096341,           0.0012797,           0.0082581,           0.0082581,           0.0082581
                  31,            0.038658,            0.033922,           0.0066627,             0.93905,             0.93499,             0.95627,             0.45259,            0.029638,           0.0095917,           0.0015162,            0.008145,            0.008145,            0.008145
                  32,            0.034995,            0.032171,           0.0062067,             0.95207,             0.99206,             0.98187,             0.60729,            0.024938,           0.0094191,           0.0012941,           0.0080294,           0.0080294,           0.0080294
                  33,            0.035908,            0.031363,           0.0058513,             0.91264,             0.93322,              0.9314,             0.47238,            0.026648,           0.0099893,           0.0021062,           0.0079112,           0.0079112,           0.0079112
                  34,            0.036913,            0.035643,           0.0057398,             0.93015,             0.96742,              0.9825,             0.55042,            0.027356,           0.0096348,          0.00099211,           0.0077907,           0.0077907,           0.0077907
                  35,            0.033536,            0.035829,           0.0067913,             0.97401,             0.96537,             0.99063,             0.59044,            0.024176,           0.0097183,           0.0008691,           0.0076679,           0.0076679,           0.0076679
                  36,            0.033201,            0.028591,           0.0048422,             0.93497,             0.94267,             0.96145,             0.53215,            0.029183,           0.0095118,          0.00083421,            0.007543,            0.007543,            0.007543
                  37,            0.034684,            0.028575,           0.0053113,             0.93488,             0.97536,             0.97274,             0.58427,            0.023852,           0.0093467,           0.0010414,            0.007416,            0.007416,            0.007416
                  38,            0.034371,            0.040195,           0.0052928,             0.94023,             0.96825,             0.97911,             0.59251,            0.021999,            0.009384,           0.0018621,           0.0072872,           0.0072872,           0.0072872
                  39,            0.034051,             0.03031,           0.0046954,             0.91106,             0.92845,             0.94279,             0.52773,            0.029547,           0.0093032,          0.00095515,           0.0071566,           0.0071566,           0.0071566
                  40,            0.034102,            0.030917,           0.0051263,              0.9638,             0.97536,             0.97722,             0.60856,            0.021896,           0.0086911,           0.0011551,           0.0070243,           0.0070243,           0.0070243
                  41,             0.03205,            0.030712,           0.0055168,             0.91938,             0.95948,             0.96015,              0.5204,            0.026368,           0.0094418,           0.0010127,           0.0068906,           0.0068906,           0.0068906
                  42,            0.034075,            0.030387,           0.0044709,             0.94373,             0.97533,             0.97424,             0.60511,            0.023882,           0.0098485,           0.0013359,           0.0067555,           0.0067555,           0.0067555
                  43,            0.032156,            0.031109,           0.0045312,             0.90982,             0.97452,             0.96272,             0.60043,            0.023638,            0.009877,           0.0010204,           0.0066191,           0.0066191,           0.0066191
                  44,            0.030573,            0.028904,           0.0047164,              0.9312,             0.92003,             0.94665,             0.56703,              0.0231,             0.01011,            0.002344,           0.0064816,           0.0064816,           0.0064816
                  45,            0.033035,            0.030852,           0.0049466,             0.93697,             0.95238,              0.9676,             0.55741,            0.026027,           0.0097039,           0.0014928,           0.0063432,           0.0063432,           0.0063432
                  46,            0.031226,            0.031913,             0.00405,             0.93553,             0.97536,             0.97099,             0.59647,            0.023652,           0.0086315,           0.0015728,            0.006204,            0.006204,            0.006204
                  47,            0.030455,            0.031177,           0.0044971,             0.91956,             0.98413,             0.97531,             0.60838,            0.022235,           0.0089342,           0.0010735,            0.006064,            0.006064,            0.006064
                  48,            0.032243,            0.028845,           0.0051982,             0.93147,             0.96981,             0.97198,              0.5889,            0.021118,           0.0088057,           0.0013119,           0.0059235,           0.0059235,           0.0059235
                  49,            0.033096,             0.03031,           0.0042313,             0.94139,             0.95948,             0.96708,             0.59309,            0.023496,           0.0091274,           0.0018924,           0.0057826,           0.0057826,           0.0057826
                  50,            0.030928,            0.032271,           0.0045412,             0.92437,             0.98329,             0.98504,             0.61148,            0.021304,           0.0091093,           0.0012833,           0.0056413,           0.0056413,           0.0056413
                  51,            0.030087,            0.029549,           0.0040845,             0.92946,             0.97718,             0.96671,             0.58749,            0.024185,           0.0092105,          0.00092927,              0.0055,              0.0055,              0.0055
                  52,            0.030383,             0.02834,           0.0041706,             0.94834,             0.98412,             0.97855,             0.54945,            0.024117,           0.0094955,          0.00084999,           0.0053587,           0.0053587,           0.0053587
                  53,            0.030372,            0.030142,           0.0046729,              0.9349,             0.98413,             0.97845,             0.58638,             0.02346,           0.0092408,           0.0012585,           0.0052174,           0.0052174,           0.0052174
                  54,             0.02965,            0.025511,           0.0046443,             0.97498,             0.97965,             0.98287,             0.58358,            0.024494,           0.0089635,          0.00077105,           0.0050765,           0.0050765,           0.0050765
                  55,             0.02998,            0.028372,           0.0035454,             0.96499,             0.96914,             0.97058,             0.59799,            0.021951,           0.0087936,          0.00075937,            0.004936,            0.004936,            0.004936
                  56,            0.028462,            0.026809,           0.0033799,             0.95522,             0.97619,             0.97861,             0.61088,            0.022789,           0.0090375,          0.00049302,            0.004796,            0.004796,            0.004796
                  57,            0.027954,            0.025385,            0.003779,             0.95201,             0.96032,             0.97757,             0.64992,            0.021464,           0.0088515,          0.00056175,           0.0046568,           0.0046568,           0.0046568
                  58,            0.029126,            0.029671,           0.0037312,             0.93475,             0.95155,             0.96918,             0.63037,            0.021694,           0.0091978,           0.0007359,           0.0045184,           0.0045184,           0.0045184
                  59,            0.027791,            0.026076,           0.0035389,             0.93519,              0.9761,              0.9791,             0.63314,            0.022153,           0.0088573,           0.0004983,           0.0043809,           0.0043809,           0.0043809
                  60,            0.028304,            0.029996,           0.0037073,             0.95104,             0.99206,             0.98395,             0.62029,            0.021495,           0.0089786,          0.00043187,           0.0042445,           0.0042445,           0.0042445
                  61,            0.028323,            0.027313,           0.0034834,             0.96669,             0.97608,             0.98138,             0.61383,            0.022876,           0.0087658,          0.00067319,           0.0041094,           0.0041094,           0.0041094
                  62,             0.02755,            0.023323,           0.0035188,             0.94092,              0.9841,             0.97923,             0.58576,            0.023026,           0.0087194,          0.00098054,           0.0039757,           0.0039757,           0.0039757
                  63,            0.027555,            0.026052,           0.0028248,              0.9316,             0.99206,             0.98187,             0.62862,            0.022263,           0.0091273,             0.00085,           0.0038434,           0.0038434,           0.0038434
                  64,            0.028292,            0.029759,           0.0033253,               0.934,             0.96978,             0.97125,             0.59457,             0.02301,            0.009272,          0.00050902,           0.0037128,           0.0037128,           0.0037128
                  65,            0.026557,             0.02813,           0.0032608,             0.95117,             0.99205,             0.98253,             0.61341,            0.021922,             0.00915,          0.00053671,            0.003584,            0.003584,            0.003584
                  66,            0.026923,            0.027775,           0.0026749,             0.94115,             0.99204,             0.98271,             0.65398,            0.021373,           0.0089456,          0.00043543,            0.003457,            0.003457,            0.003457
                  67,              0.0265,            0.024471,           0.0024856,             0.95752,             0.96481,              0.9822,             0.63241,            0.021233,           0.0086791,          0.00036069,           0.0033321,           0.0033321,           0.0033321
                  68,            0.027366,             0.02813,           0.0032049,             0.94215,             0.99204,             0.98252,             0.62675,            0.022114,           0.0087571,          0.00041319,           0.0032093,           0.0032093,           0.0032093
                  69,             0.02688,            0.028249,           0.0031361,             0.93873,             0.99197,             0.98188,              0.6429,            0.020213,            0.008938,           0.0004517,           0.0030888,           0.0030888,           0.0030888
                  70,            0.026253,            0.026535,           0.0025145,             0.96091,             0.99206,             0.98123,             0.63034,             0.02106,           0.0089947,          0.00041691,           0.0029706,           0.0029706,           0.0029706
                  71,            0.025479,            0.026362,           0.0031488,             0.96217,             0.99197,             0.98149,             0.62041,            0.021702,           0.0090673,           0.0004803,            0.002855,            0.002855,            0.002855
                  72,            0.025077,            0.024295,           0.0025509,             0.96832,             0.99206,             0.98179,             0.60245,            0.022252,           0.0088636,          0.00034821,           0.0027419,           0.0027419,           0.0027419
                  73,            0.026648,            0.025101,           0.0023733,             0.97297,             0.99206,             0.98145,             0.58761,            0.022646,           0.0088412,          0.00031441,           0.0026316,           0.0026316,           0.0026316
                  74,            0.025149,            0.023522,           0.0028267,             0.97652,               0.992,              0.9817,             0.62428,            0.021829,           0.0088082,          0.00036258,           0.0025241,           0.0025241,           0.0025241
                  75,            0.025899,            0.027279,           0.0024144,             0.94616,               0.992,             0.98085,                0.64,             0.02075,           0.0086664,           0.0004624,           0.0024195,           0.0024195,           0.0024195
                  76,            0.026391,            0.026479,           0.0028652,             0.96864,             0.98394,             0.97277,             0.63688,            0.021917,            0.008762,          0.00035324,            0.002318,            0.002318,            0.002318
                  77,            0.025165,            0.026285,           0.0031627,             0.95733,              0.9832,              0.9775,             0.64524,            0.021888,           0.0087427,          0.00046087,           0.0022196,           0.0022196,           0.0022196
                  78,            0.024444,            0.022415,           0.0024625,             0.96607,              0.9613,             0.97884,              0.6462,            0.021455,           0.0088255,          0.00042997,           0.0021245,           0.0021245,           0.0021245
                  79,            0.024657,             0.02344,           0.0023602,             0.94948,             0.98323,             0.97751,             0.63843,            0.022462,           0.0092715,          0.00027403,           0.0020327,           0.0020327,           0.0020327
                  80,            0.024213,            0.025139,           0.0022922,             0.95174,             0.98329,             0.97925,             0.62578,            0.021695,           0.0090183,          0.00023366,           0.0019443,           0.0019443,           0.0019443
                  81,            0.024838,            0.026771,           0.0019133,             0.95035,             0.98329,              0.9793,             0.62927,            0.022572,           0.0092497,          0.00021993,           0.0018594,           0.0018594,           0.0018594
                  82,            0.024647,            0.027174,           0.0021164,             0.95151,             0.98329,             0.97912,             0.63377,            0.022307,           0.0092532,          0.00020476,           0.0017781,           0.0017781,           0.0017781
                  83,            0.024146,            0.025222,           0.0021774,             0.95986,             0.98323,             0.97759,             0.63486,            0.022143,           0.0092904,          0.00023871,           0.0017005,           0.0017005,           0.0017005
                  84,            0.025336,            0.024477,           0.0018798,             0.96216,             0.96946,             0.97666,             0.64033,            0.021915,           0.0092138,          0.00026589,           0.0016267,           0.0016267,           0.0016267
                  85,            0.025398,            0.029366,           0.0020309,             0.94789,             0.99205,             0.98388,             0.64452,            0.021874,           0.0091792,          0.00023467,           0.0015566,           0.0015566,           0.0015566
                  86,            0.024816,             0.02295,            0.001824,             0.96212,             0.98613,             0.98435,              0.6242,            0.022052,           0.0090338,          0.00027959,           0.0014905,           0.0014905,           0.0014905
                  87,            0.024836,            0.026726,           0.0023284,               0.974,             0.97619,             0.98457,             0.63563,            0.021842,           0.0092095,          0.00030886,           0.0014283,           0.0014283,           0.0014283
                  88,            0.023165,            0.023789,           0.0019784,             0.97398,             0.97522,             0.98408,             0.64568,            0.021253,           0.0092465,          0.00037168,           0.0013701,           0.0013701,           0.0013701
                  89,            0.024374,            0.026066,           0.0017899,             0.98033,             0.97609,             0.98317,             0.63193,            0.021824,           0.0091986,          0.00033446,            0.001316,            0.001316,            0.001316
                  90,            0.023315,            0.021274,           0.0020563,             0.98157,             0.97619,             0.98333,             0.63336,            0.021793,           0.0090997,          0.00027004,            0.001266,            0.001266,            0.001266
                  91,            0.024526,            0.025119,           0.0018089,              0.9814,             0.97714,             0.98346,              0.6319,            0.021466,           0.0091643,          0.00026661,           0.0012202,           0.0012202,           0.0012202
                  92,            0.023675,             0.02433,           0.0019483,              0.9734,             0.98622,             0.98422,             0.62108,            0.021816,           0.0090708,          0.00020359,           0.0011787,           0.0011787,           0.0011787
                  93,            0.022828,            0.019925,            0.001827,             0.96241,             0.99206,             0.98332,             0.62472,             0.02207,           0.0091764,          0.00022341,           0.0011414,           0.0011414,           0.0011414
                  94,            0.023993,            0.024852,           0.0022277,             0.96915,             0.99206,             0.98342,             0.62931,            0.022266,           0.0089669,          0.00024363,           0.0011084,           0.0011084,           0.0011084
                  95,            0.023281,            0.024191,           0.0019391,             0.96039,             0.99206,              0.9838,             0.63605,            0.021803,           0.0091777,          0.00024645,           0.0010797,           0.0010797,           0.0010797
                  96,            0.022586,             0.02345,           0.0020487,             0.96128,             0.99197,             0.98349,             0.64035,            0.021704,           0.0089984,          0.00028556,           0.0010554,           0.0010554,           0.0010554
                  97,            0.023568,            0.026037,            0.001858,             0.97031,             0.97193,             0.98341,             0.63816,            0.021871,           0.0091996,          0.00044111,           0.0010355,           0.0010355,           0.0010355
                  98,            0.022766,            0.026488,            0.002185,             0.96708,             0.97423,             0.98336,             0.63992,            0.021322,           0.0092165,          0.00037164,             0.00102,             0.00102,             0.00102
                  99,            0.021745,            0.021462,           0.0015517,             0.98141,             0.97279,             0.98346,             0.64248,            0.022012,           0.0092295,          0.00041182,           0.0010089,           0.0010089,           0.0010089
